,과 목,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,비지배지분,총 계
,과 목,자본금,자본잉여금,자본조정,기타포괄손익누계액,이익잉여금,지배기업소유지분소 계,비지배지분,총 계
0,2018. 1.1 (전전기초),100000,63084,"(2,116,955)",17073526,14239292,29358947,1762625,31121572
1,회계정책변경효과,-,-,-,-,2949,2949,-,2949
2,수정후 금액,100000,63084,"(2,116,955)",17073526,14242241,29361896,1762625,31124521
3,Ⅰ.당기연결총포괄손익,,,,,,,,
4,1.당기연결순이익,-,-,-,-,1664382,1664382,69328,1733710
5,2.매도가능금융자산평가손익,-,-,-,"(2,031,781)",-,"(2,031,781)","(7,753)","(2,039,534)"
6,3.만기보유금융자산평가손익,-,-,-,(16),-,(16),-,(16)
7,4.위험회피목적파생상품평가손익,-,-,-,160142,-,160142,"(13,467)",146675
8,5.관계ㆍ종속기업투자기타포괄손익,-,-,-,2387,-,2387,-,2387
9,6.특별계정기타포괄손익,-,-,-,45544,-,45544,-,45544
10,7.해외사업환산손익,-,-,-,14683,-,14683,419,15102
11,8.순확정급여부채재측정요소,-,-,-,"(18,487)",-,"(18,487)","(1,236)","(19,723)"
12,Ⅱ.자본에 직접 인식된 내역,,,,,,,,
13,1.연차배당,-,-,-,-,"(359,150)","(359,150)","(39,528)","(398,678)"
14,2.지분법이익잉여금변동,-,-,-,-,463,463,-,463
15,3.기타,-,62031,-,-,-,62031,"(167,023)","(104,992)"
16,2018. 12.31 (전전기말),"100,000==========","125,115==========","(2,116,955)==========","15,245,998==========","15,547,936==========","28,902,094==========","1,603,365==========","30,505,459=========="
17,2019.1.1 (전기초),100000,125115,"(2,116,955)",15245998,15547936,28902094,1603365,30505459
18,Ⅰ.반기연결총포괄손익,,,,,,,,
19,1.반기연결순이익,-,-,-,-,756606,756606,37427,794033
20,2.매도가능금융자산평가손익,-,-,-,4727562,-,4727562,5679,4733241
21,3.만기보유금융자산평가손익,-,-,-,-,-,-,-,-
22,4.위험회피목적파생상품평가손익,-,-,-,"(13,189)",-,"(13,189)","(9,992)","(23,181)"
23,5.관계기업의 기타포괄손익지분,-,-,-,8988,-,8988,-,8988
24,6.특별계정기타포괄손익,-,-,-,102136,-,102136,-,102136
25,7.해외사업환산손익,-,-,-,52273,-,52273,4295,56568
26,8.순확정급여부채 재측정요소,-,-,-,(866),-,(866),3,(863)
27,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
28,1.연차배당,-,-,-,-,"(475,873)","(475,873)","(37,530)","(513,403)"
29,2.지분법이익잉여금변동,-,-,-,-,-,-,-,-
30,3.기타,-,-,-,-,-,-,2964,2964
31,2019.6.30 (전반기말),"100,000==========","125,115 ==========","(2,116,955)==========","20,122,902 ==========","15,828,669 ==========","34,059,731 ==========","1,606,211 ==========","35,665,942 =========="
32,2020.1.1 (당기초),100000,125115,"(2,116,955)",21509453,16049424,35667037,1649368,37316405
33,Ⅰ.반기연결총포괄손익,,,,,,,,
34,1.반기연결순이익,-,-,-,-,678527,678527,47892,726419
35,2.매도가능금융자산평가손익,-,-,-,"(143,955)",-,"(143,955)","(6,464)","(150,419)"
36,3.만기보유금융자산평가손익,-,-,-,-,-,-,-,-
37,4.위험회피목적파생상품평가손익,-,-,-,"(43,301)",-,"(43,301)","(7,545)","(50,846)"
38,5.관계기업의 기타포괄손익지분,-,-,-,6588,-,6588,-,6588
39,6.특별계정기타포괄손익,-,-,-,58803,-,58803,-,58803
40,7.해외사업환산손익,-,-,-,48114,-,48114,2433,50547
41,8.순확정급여부채 재측정요소,-,-,-,"(1,836)",-,"(1,836)",1,"(1,835)"
42,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
43,1.연차배당,-,-,-,-,"(475,873)","(475,873)","(37,530)","(513,403)"
44,2.지분법이익잉여금변동,-,-,-,-,17,17,-,17
45,3.기타,-,-,-,-,-,-,3981,3981
46,2020.6.30 (당반기말),100000,125115,"(2,116,955)",21433866,16252095,35794121,1652136,37446257
