,과 목,자 본 금,기타불입자본,신종자본증권,기타자본구성요소,이익잉여금,지배기업의소유주 귀속,비지배지분,총 계
0,2016.1.1(전기초),4342650000000,"(439,086,941,120)",-,2196119786636,2542616435398,8642299280914,458118608,8642757399522
1,I. 반기총포괄이익,,,,,,,,
2,1. 반기순이익,-,-,-,-,695285498578,695285498578,"(112,243,592)",695173254986
3,2. 유형자산재평가손익,-,-,-,7006118453,24759179,7030877632,-,7030877632
4,3. 매도가능금융자산평가손익,-,-,-,1046675286467,-,1046675286467,-,1046675286467
5,4. 관계기업의 기타포괄손익지분,-,-,-,"(64,707,394,967)","(10,708,162,232)","(75,415,557,199)",-,"(75,415,557,199)"
6,5. 위험회피목적파생상품평가손익,-,-,-,15089296053,-,15089296053,-,15089296053
7,6. 특별계정기타포괄손익,-,-,-,29523432523,-,29523432523,-,29523432523
8,7. 확정급여제도의 재측정요소,-,-,-,70932677,-,70932677,1351398,72284075
9,8. 해외사업환산손익,-,-,-,"(3,365,847,623)",-,"(3,365,847,623)",18141699,"(3,347,705,924)"
10,II. 자본에 직접 인식된 주주와의 거래,,,,,,,,
11,1. 연차배당,-,-,-,-,"(135,250,245,000)","(135,250,245,000)",-,"(135,250,245,000)"
12,2. 연결범위의 변동,-,-,-,-,-,-,683725399156,683725399156
13,2016.6.30 (전반기말),4342650000000,"(439,086,941,120)",-,3226411610219,3091968285923,10221942955022,684090767269,10906033722291
14,2017.1.1 (당기초),4342650000000,"(440,193,627,494)",-,1429039398163,3197556818396,8529052589065,630111406947,9159163996012
15,I. 반기총포괄손익,,,,,,,,
16,1. 반기순이익,-,-,-,-,486984321227,486984321227,67766223172,554750544399
17,2. 재평가잉여금의대체,-,-,-,"(23,693,583,022)",23693583022,-,-,-
18,3. 유형자산재평가손익,-,-,-,14738283183,-,14738283183,-,14738283183
19,4. 매도가능금융자산평가손익,-,-,-,253351638832,-,253351638832,12945181735,266296820567
20,5. 만기보유금융자산평가손익,-,-,-,"(35,175,673,784)",-,"(35,175,673,784)",-,"(35,175,673,784)"
21,6. 관계기업의 기타포괄손익지분,-,-,-,"(635,104,153)",-,"(635,104,153)",167932179,"(467,171,974)"
22,7. 위험회피목적파생상품평가손익,-,-,-,27090737251,-,27090737251,"(2,015,368,197)",25075369054
23,8. 특별계정기타포괄손익,-,-,-,"(3,451,621,858)",-,"(3,451,621,858)",-,"(3,451,621,858)"
24,9. 해외사업환산손익,-,-,-,"(28,199,501,023)",-,"(28,199,501,023)","(31,790,735)","(28,231,291,758)"
25,II. 자본에 직접 인식된 주주와의 거래,,,,,,,,
26,1. 연차배당,-,-,-,-,"(60,111,220,000)","(60,111,220,000)","(4,196,269,700)","(64,307,489,700)"
27,2. 신종자본증권 발행,-,-,497930280000,-,-,497930280000,-,497930280000
28,3. 신종자본증권 배당,-,-,-,-,"(4,972,225,274)","(4,972,225,274)",-,"(4,972,225,274)"
29,4. 비지배지분의 증감,-,-,-,-,-,-,29942080000,29942080000
30,2017.6.30 (당반기말),4342650000000,"(440,193,627,494)",497930280000,1633064573589,3643151277371,9676602503466,734689395401,10411291898867
