,종업원수,유동자산(계),당좌자산(계),현금및현금등가물,매출채권,선급금,기타선급금,선급비용,비유동자산(계),투자자산(계),장기투자증권,매도가능증권,유형자산(계),(유형자산감가상각누계액계),차량운반구,(차량운반구감가상각누계액),비품,(비품감가상각누계액),자산총계,유동부채(계),미지급금,기타미지급금,선수금,기타선수금,예수금,기타예수금,부채총계,자본금,이익잉여금,"법정적립금,준비금",이익준비금,미처분이익잉여금,[당기순이익],자본총계,부채와자본총계
2001-03-31,482.0,24313598000.0,24313598000.0,9610342000.0,13259192000.0,815900000.0,815900000.0,452931000.0,4474251000.0,2082130000.0,430000000.0,430000000.0,1147108000.0,3904026000.0,184475000.0,961097000.0,844793000.0,2941951000.0,28787849000.0,14850582000.0,8246130000.0,8246130000.0,120820000.0,120820000.0,1703632000.0,1703632000.0,17785955000.0,5115000000.0,5886894000.0,145864000.0,145864000.0,3141443000.0,3945776000.0,11001894000.0,28787849000.0
2002-03-31,561.0,25837511000.0,25837511000.0,5217454000.0,19526401000.0,110400000.0,110400000.0,923976000.0,4410926000.0,1922111000.0,380000000.0,380000000.0,972791000.0,10328868000.0,111805000.0,6930871000.0,860986000.0,3397997000.0,30248437000.0,15856874000.0,15342971000.0,13326218000.0,64299000.0,64299000.0,449604000.0,449604000.0,17690243000.0,5115000000.0,7443194000.0,447706000.0,447706000.0,3216357000.0,3395175000.0,12558194000.0,30248437000.0
2003-03-31,565.0,25862269000.0,25862269000.0,7683054000.0,17529608000.0,13964000.0,13964000.0,610690000.0,5225151000.0,2467718000.0,380000000.0,380000000.0,981375000.0,4622160000.0,310093000.0,853255000.0,671282000.0,3768905000.0,31087419000.0,15652823000.0,13174131000.0,11021102000.0,49893000.0,49893000.0,2428799000.0,2428799000.0,15652823000.0,5115000000.0,10319596000.0,647706000.0,647706000.0,4623096000.0,3606739000.0,15434596000.0,31087419000.0
2004-03-31,573.0,25878366000.0,25878366000.0,7001570000.0,18019003000.0,142250000.0,142250000.0,666788000.0,4958093000.0,2389679000.0,80000000.0,80000000.0,816516000.0,4960034000.0,321933000.0,906339000.0,494583000.0,4053695000.0,30836459000.0,12074575000.0,10560898000.0,10423799000.0,118027000.0,118027000.0,1395650000.0,1395650000.0,13534319000.0,5115000000.0,12187140000.0,647706000.0,647706000.0,5343371000.0,720276000.0,17302140000.0,30836459000.0
2005-03-31,925.0,29000992000.0,29000992000.0,9272871000.0,18831742000.0,158368000.0,158368000.0,710057000.0,5909839000.0,2631411000.0,490590000.0,455000000.0,1367832000.0,5381409000.0,704247000.0,1022133000.0,663585000.0,4359276000.0,34910831000.0,14889190000.0,14152852000.0,13464084000.0,16927000.0,16927000.0,719411000.0,719411000.0,16715819000.0,5115000000.0,13080012000.0,747706000.0,747706000.0,4922418000.0,679047000.0,18195012000.0,34910831000.0
2006-03-31,1101.0,42297555000.0,42297555000.0,9748157000.0,31308437000.0,207696000.0,207696000.0,1006844000.0,9257391000.0,3560479000.0,496645000.0,455000000.0,2661594000.0,6673165000.0,1011427000.0,1682864000.0,1650167000.0,4990301000.0,51554946000.0,31367107000.0,30014286000.0,28261068000.0,14558000.0,14558000.0,1338263000.0,1338263000.0,33792419000.0,5115000000.0,12647527000.0,1067706000.0,1067706000.0,4169933000.0,2767515000.0,17762527000.0,51554946000.0
2007-03-31,1000.0,44005328000.0,44005328000.0,4853554000.0,35529060000.0,1236476000.0,1236476000.0,1231718000.0,9391873000.0,3612438000.0,719955000.0,680000000.0,2296522000.0,8435125000.0,862760000.0,2230483000.0,1433762000.0,6204642000.0,53397201000.0,35279901000.0,30523086000.0,30451974000.0,329084000.0,329084000.0,853884000.0,853884000.0,37878760000.0,5115000000.0,10403441000.0,1347706000.0,1347706000.0,1254853000.0,555914000.0,15518441000.0,53397201000.0
2008-03-31,1235.0,39900172000.0,39900172000.0,3360283000.0,30865808000.0,1020284000.0,1020284000.0,2164674000.0,15194198000.0,9700881000.0,491070000.0,450000000.0,5493317000.0,7583828000.0,1976906000.0,2601431000.0,3516411000.0,4982397000.0,55094370000.0,34798004000.0,17712463000.0,17712463000.0,8865498000.0,8865498000.0,2691068000.0,2691068000.0,37670444000.0,5115000000.0,12308926000.0,1347706000.0,1347706000.0,1905977000.0,1905485000.0,17423926000.0,55094370000.0
2009-03-31,850.0,45925506000.0,45925506000.0,2880910000.0,24631887000.0,1541429000.0,1541429000.0,2257857000.0,9120420000.0,8003498000.0,486210000.0,450000000.0,1116922000.0,2752375000.0,1049262000.0,2717208000.0,67660000.0,35167000.0,55045926000.0,36535213000.0,24799338000.0,24799338000.0,139885000.0,139885000.0,2070907000.0,2070907000.0,36913679000.0,5115000000.0,13017247000.0,1347706000.0,1347706000.0,711953000.0,708321000.0,18132247000.0,55045926000.0
2010-03-31,784.0,46693762000.0,46693762000.0,3257854000.0,20814305000.0,505253000.0,505253000.0,1350519000.0,8178600000.0,7721551000.0,759515000.0,750000000.0,457049000.0,2600075000.0,407957000.0,2395499000.0,49092000.0,204576000.0,54872362000.0,35610104000.0,26175418000.0,26174912000.0,232613000.0,232613000.0,1934367000.0,1934367000.0,36338516000.0,5115000000.0,13418846000.0,1347706000.0,1347706000.0,445443000.0,401599000.0,18533846000.0,54872362000.0
2011-03-31,862.0,54732301000.0,54732301000.0,2373776000.0,25648469000.0,15532312000.0,15532312000.0,500810000.0,8440115000.0,8253133000.0,758790000.0,750000000.0,186982000.0,2053180000.0,167831000.0,1818663000.0,19151000.0,234517000.0,63172416000.0,40615477000.0,31584468000.0,31442307000.0,174796000.0,174796000.0,34607000.0,34607000.0,43428246000.0,5115000000.0,14629170000.0,1347706000.0,1347706000.0,1424855000.0,1210323000.0,19744170000.0,63172416000.0
2012-03-31,797.0,55245773000.0,55245773000.0,434119000.0,33988901000.0,14104766000.0,14104766000.0,809357000.0,8966233000.0,8941826000.0,1378508000.0,1376478000.0,24408000.0,788423000.0,15277000.0,577007000.0,9131000.0,211416000.0,64212006000.0,40757168000.0,32057815000.0,32009293000.0,123339000.0,123339000.0,21634000.0,21634000.0,44216143000.0,5115000000.0,14880864000.0,1347706000.0,1347706000.0,1080550000.0,251694000.0,19995864000.0,64212006000.0
2013-03-31,797.0,48604588000.0,48604588000.0,2041772000.0,35720258000.0,2842672000.0,2842672000.0,509879000.0,8235994000.0,8149506000.0,1377668000.0,1376478000.0,86488000.0,339076000.0,84743000.0,120275000.0,1745000.0,218801000.0,56840582000.0,33061932000.0,27905490000.0,27535415000.0,96640000.0,96640000.0,46114000.0,46114000.0,36804059000.0,5115000000.0,14921523000.0,1347706000.0,1347706000.0,762986000.0,40659000.0,20036523000.0,56840582000.0
2014-03-31,935.0,50540357000.0,50540357000.0,2430362000.0,39283330000.0,3637423000.0,3637423000.0,469959000.0,8237100000.0,1377693000.0,1377693000.0,1376478000.0,500624000.0,490861000.0,497377000.0,269732000.0,3247000.0,221129000.0,58777457000.0,34146100000.0,27709967000.0,26909466000.0,371660000.0,371660000.0,2135284000.0,2135284000.0,38239552000.0,5115000000.0,15422905000.0,1347706000.0,1347706000.0,674479000.0,501382000.0,20537905000.0,58777457000.0
2015-03-31,1078.0,50817515000.0,50817515000.0,3261483000.0,43667173000.0,568070000.0,568070000.0,673698000.0,9175861000.0,1781213000.0,1781213000.0,1780368000.0,1194708000.0,1275868000.0,1191685000.0,1052693000.0,3023000.0,223176000.0,59993376000.0,32094957000.0,30557667000.0,30531413000.0,116980000.0,116980000.0,87456000.0,87456000.0,38129267000.0,5115000000.0,16749109000.0,1347706000.0,1347706000.0,1583478000.0,1326204000.0,21864109000.0,59993376000.0
2016-03-31,1258.0,76475294000.0,76475294000.0,14339169000.0,59046098000.0,1210709000.0,1210709000.0,966668000.0,11612764000.0,1780368000.0,1780368000.0,1780368000.0,3873113000.0,2841283000.0,2060990000.0,2077440000.0,1812123000.0,763843000.0,88088058000.0,55691963000.0,44371305000.0,43514660000.0,4785116000.0,4785116000.0,31591000.0,31591000.0,63076189000.0,5115000000.0,19896869000.0,1347706000.0,1347706000.0,3540589000.0,3147759000.0,25011869000.0,88088058000.0
2017-03-31,1459.0,85696350000.0,85696350000.0,11753726000.0,69154848000.0,1381883000.0,1381883000.0,1095587000.0,14798465000.0,3450933000.0,3450933000.0,3450933000.0,4031887000.0,5296902000.0,1880893000.0,3393049000.0,2150994000.0,1903853000.0,100494815000.0,61455421000.0,42151559000.0,40971275000.0,1550442000.0,1550442000.0,51614000.0,51614000.0,70586625000.0,5115000000.0,24793190000.0,1347706000.0,1347706000.0,6736945000.0,4896321000.0,29908190000.0,100494815000.0
2018-03-31,1690.0,85878188000.0,85878188000.0,12627109000.0,68477960000.0,709465000.0,709465000.0,1016821000.0,17879515000.0,3450933000.0,3450933000.0,3450933000.0,4878615000.0,9045632000.0,1833639000.0,4761347000.0,3044976000.0,4284286000.0,103757703000.0,57385149000.0,46566972000.0,45714133000.0,2870743000.0,2870743000.0,74398000.0,74398000.0,72299675000.0,5115000000.0,26343027000.0,1347706000.0,1347706000.0,6012805000.0,1549838000.0,31458027000.0,103757703000.0
2019-06-30,1942.0,76547318000.0,76547318000.0,30973151000.0,35975639000.0,2840736000.0,2840736000.0,2903184000.0,20443683000.0,3450933000.0,3450933000.0,3450933000.0,5400754000.0,12277661000.0,2018899000.0,5003312000.0,3381855000.0,7274350000.0,96991001000.0,49939759000.0,43616040000.0,43131255000.0,3069380000.0,3069380000.0,86017000.0,86017000.0,63557214000.0,9015000000.0,24418787000.0,1347706000.0,1347706000.0,-4189428000.0,-3320775000.0,33433787000.0,96991001000.0
2020-06-30,1201.0,105301071000.0,105301071000.0,53138167000.0,45851676000.0,1385251000.0,1385251000.0,3204973000.0,23785254000.0,3450933000.0,3450933000.0,3450933000.0,6171413000.0,15027659000.0,2682864000.0,4875505000.0,3488549000.0,10152154000.0,129086326000.0,80368491000.0,75629465000.0,73610755000.0,1624088000.0,1624088000.0,77128000.0,77128000.0,92263913000.0,9015000000.0,27807413000.0,1347706000.0,1347706000.0,-2318020000.0,3388625000.0,36822413000.0,129086326000.0
