realinterest,m2,gold
2.006,6706.46,549.8642857
2.048947368,6733.45,554.995
2.197391304,6748.35,557.0934783
2.408947368,6780.125,610.6527778
2.445909091,6792.62,675.3928571
2.529545455,6826.65,596.1454545
2.507,6869.88,633.7095238
2.290869565,6901.25,632.5931818
2.3195,6926.525,598.1857143
2.411428571,6974.58,585.7795455
2.291904762,7011.65,627.8272727
2.2505,7049.225,629.7911765
2.436666667,7093.08,631.1659091
2.360526316,7110.75,664.745
2.176818182,7135.35,654.8954545
2.255714286,7212.94,679.3684211
2.373636364,7229.6,666.8595238
2.690952381,7258.325,655.4904762
2.636666667,7292.3,665.2954545
2.43826087,7365.575,665.4113636
2.257368421,7388.675,712.6525
2.202272727,7401.32,754.6043478
1.768,7424.475,806.2477273
1.789,7456.1,803.2029412
1.469047619,7485.175,889.5954545
1.405,7569.8,922.297619
1.091,7638.42,968.4342105
1.362272727,7686.025,909.7045455
1.46,7692.8,888.6625
1.628571429,7714.24,889.4880952
1.569090909,7759.4,939.7717391
1.676190476,7776.9,839.025
1.85,7831.5,829.9318182
2.752272727,7951.85,806.6195652
2.888333333,7983.025,760.8625
2.17,8158.72,816.0921053
1.912,8258.225,858.6904762
1.752105263,8285.725,943.1625
1.709090909,8351.82,924.2727273
1.567619048,8355.925,890.2
1.717,8413.8,928.6447368
1.862272727,8428.24,945.6704545
1.822727273,8431.75,934.2282609
1.773809524,8432.46,949.375
1.641904762,8431.225,996.5909091
1.483333333,8454.675,1043.159091
1.275263158,8485.68,1127.035714
1.364545455,8488.2,1134.723684
1.374736842,8440.075,1117.9625
1.418947368,8489.65,1095.4125
1.50826087,8491.98,1113.336957
1.500909091,8517.325,1148.6875
1.307,8574.68,1205.434211
1.256818182,8598.225,1232.920455
1.240952381,8598.675,1192.965909
1.021818182,8653.04,1215.809524
0.909047619,8684.375,1270.977273
0.525,8732.15,1342.02381
0.666,8755.12,1369.886364
1.044090909,8788.95,1390.552632
1.0605,8821.48,1356.4
1.237894737,8871.375,1372.725
0.963913043,8913.025,1424.01087
0.8635,8966.725,1473.805556
0.778571429,9027.2,1510.4375
0.755454545,9098.475,1528.659091
0.6235,9261.1,1572.809524
0.135217391,9503.44,1755.806818
0.077619048,9536.075,1771.852273
0.186,9570.4,1665.214286
0.0015,9611.4,1738.977273
-0.031428571,9637.55,1652.305556
-0.108,9727.72,1656.119048
-0.2545,9770.325,1742.619048
-0.141363636,9810.95,1673.772727
-0.213809524,9868.86,1650.065789
-0.341363636,9902.025,1585.504545
-0.50047619,9961.725,1596.697368
-0.601904762,10040.26,1593.909091
-0.585652174,10110.175,1626.034091
-0.713157895,10185,1744.45
-0.748571429,10254.38,1747.01087
-0.7725,10315.15,1721.136364
-0.7575,10436.04,1688.529412
-0.608571429,10472.475,1670.954545
-0.570526316,10463.575,1627.5875
-0.585,10523.4,1592.8625
-0.652272727,10578.32,1485.083333
-0.355,10606.525,1413.5
0.2515,10653.325,1342.3625
0.46,10717.28,1286.723913
0.552727273,10773.25,1347.095238
0.664,10829.96,1348.797619
0.428636364,10944.8,1316.184783
0.547894737,10946.8,1275.821429
0.738571429,11010.28,1225.402778
0.631904762,11059.6,1244.795455
0.552105263,11141.6,1300.975
0.555714286,11185.68,1336.083333
0.542857143,11243.8,1299
0.368095238,11303.775,1287.525
0.36952381,11366.74,1279.095238
0.279545455,11425.175,1310.967391
0.223809524,11453.025,1295.9875
0.460952381,11488.7,1238.818182
0.384090909,11550.575,1222.48913
0.445555556,11577.575,1176.3
0.510454545,11660.1,1202.289474
0.2745,11713.1,1251.845238
0.26,11840.75,1227.1875
0.280909091,11870.08,1178.629545
0.076818182,11916.4,1197.91
0.332,11939.05,1199.052632
0.497727273,11990.68,1181.504545
0.503636364,12046.65,1130.036957
0.555714286,12091.78,1117.475
0.65,12153.25,1124.531818
0.571428571,12169.6,1159.245455
0.692631579,12271.78,1085.702381
0.727727273,12328.575,1068.252632
0.665263158,12432.7,1097.375
0.472,12531.48,1199.911905
0.337272727,12593.1,1246.338095
0.19047619,12672.8,1242.261905
0.211904762,12753.3,1259.3975
0.174090909,12820.2,1276.404545
0.0385,12868.25,1337.32619
0.08826087,12960.62,1341.088636
0.115714286,13026.925,1326.029545
0.0975,13092.82,1266.569048
0.32,13168.2,1235.979545
0.556190476,13195.525,1151.402778
0.421,13265.56,1192.616667
0.4,13339.05,1234.3575
0.485652174,13408.3,1231.093478
0.391052632,13460.825,1265.627778
0.466818182,13527.18,1245.004762
0.458181818,13556.725,1260.256818
0.546,13611.78,1236.221429
0.433478261,13671.8,1282.888095
0.368,13708.05,1314.978571
0.498095238,13765.6,1279.513636
0.495714286,13792.225,1282.284091
0.503,13832.675,1261.255882
0.54,13852.94,1331.665909
0.757368421,13888.975,1331.525
0.751904762,13946.775,1324.657143
0.741428571,13987.7,1334.74
0.835909091,14050.675,1303.02619
0.794761905,14113.225,1281.566667
0.774761905,14151.36,1238.525
0.79,14191.075,1201.245455
0.881052632,14224.675,1198.4725
1.040909091,14237.88,1215.393478
1.113,14235.8,1220.945455
1.016315789,14346.04,1247.923529
0.92,14432.175,1291.745455
0.799473684,14461.075,1320.065
0.658095238,14501.075,1300.897619
0.595714286,14555.84,1286.445
0.568636364,14642.15,1283.947619
0.374,14764.075,1359.0425
0.306363636,14853.54,1412.978261
0.04,14925.45,1498.797619
0.1125,15015.7,1511.314286
0.145909091,15143.1,1495.018182
0.171578947,15241.65,1470.016667
0.144761905,15303.72,1476.044444
0.036666667,15394.45,1560.672727
-0.111578947,15434.425,1598.389474
-0.116818182,15898.06,1591.927273
-0.445714286,16948.1,1682.93
-0.4415,17815.4,1716.381579
-0.544545455,18126.72,1732.218182
-0.832727273,18325,1843.313043
-1.011428571,18384.62,1968.565
-0.976666667,18652.85,1922.213636
-0.916666667,18784.975,1900.275
-0.842105263,19037.9,1863.492857
-0.982272727,19198.6,1855.955263
