DATE,USSTHPI
2006-01-01,368.49
2006-04-01,372.27
2006-07-01,375.33
2006-10-01,379.17
2007-01-01,380.59
2007-04-01,380.34
2007-07-01,376.08
2007-10-01,374.88
2008-01-01,372.14
2008-04-01,362.74
2008-07-01,351.31
2008-10-01,348.08
2009-01-01,350.63
2009-04-01,341.4
2009-07-01,332.45
2009-10-01,329.93
2010-01-01,325.97
2010-04-01,323.04
2010-07-01,326.13
2010-10-01,323.78
2011-01-01,314.84
2011-04-01,309.34
2011-07-01,311.63
2011-10-01,313.03
2012-01-01,309.7
2012-04-01,308.37
2012-07-01,312.39
2012-10-01,314.82
2013-01-01,316.45
2013-04-01,321.38
2013-07-01,326.29
2013-10-01,328.96
2014-01-01,331.84
2014-04-01,338.24
2014-07-01,343.11
2014-10-01,345.92
2015-01-01,349.53
2015-04-01,355.39
2015-07-01,360.7
2015-10-01,363.76
2016-01-01,367.11
2016-04-01,374.06
2016-07-01,380.7
2016-10-01,383.9
2017-01-01,387.2
2017-04-01,396.31
2017-07-01,402.64
2017-10-01,406.2
2018-01-01,412.19
2018-04-01,420.21
2018-07-01,425.44
2018-10-01,427.22
2019-01-01,431.91
2019-04-01,439.36
2019-07-01,444.96
2019-10-01,449.16
2020-01-01,453.92
2020-04-01,457.87
2020-07-01,465.84
